time,open,close,high,low,Volume
1632166500,4758422.109,4767000,4767000,4758422.109,0.01451194
1632166560,4766400.958,4772600,4773600,4766400.958,0.72300209
1632166620,4772900,4773300,4774700,4770500,0.24900242
1632166680,4772900,4772600,4772900,4772600,0.00748
1632166740,4767900,4768600,4768600,4767900,0.46051536
1632166800,4770236.123,4770700,4774800,4768800,0.29588474
1632166860,4767600,4769200,4769200,4767400,0.23799549
1632166920,4769800,4785000,4785000,4769800,0.12052842
1632166980,4785088.021,4793600,4800100,4785088.021,4.25114693
1632167040,4794900,4777867.558,4796000,4777758.157,0.25536347
1632167100,4787594.072,4787800,4788700,4783200,1.01202069
1632167160,4784600,4779100,4784600,4779000,0.3967232
1632167220,4779946.176,4778700,4782100,4778700,0.10593814
1632167280,4775200,4772300,4775200,4772300,0.01512469
1632167340,4773300,4773800,4773800,4773300,0.49791241
1632167460,4768300,4768400,4768400,4768300,0.05011094
1632167520,4772200,4783300,4783300,4772200,0.24440062
1632167580,4783400,4800300,4802000,4783400,0.26973094
1632167640,4797400,4797000,4800800,4797000,0.09908169
1632167700,4800837.983,4810500,4810500,4800837.983,0.62828941
1632167760,4797700,4803400,4803400,4797700,0.00883714
1632167820,4803500,4806636.229,4807500,4803500,0.14143595
1632167880,4807447.128,4806200,4808000,4804100,0.26736386
1632167940,4804700,4801384.988,4804700,4799900,0.56753769
1632168000,4799800,4800900,4800900,4794400,0.23567169
1632168060,4801000,4808400,4809500,4801000,0.05038719
1632168120,4803357.679,4803357.679,4803357.68,4803357.679,0.05318
1632168180,4803600,4803600,4803600,4803600,0.00006
1632168240,4803600,4807186.102,4807186.1,4803600,0.0855742
1632168300,4803300,4803300,4803300,4803300,0.00126304
1632168360,4805000,4805500,4806800,4805000,0.10065014
1632168480,4802300,4801700,4802300,4801700,0.055
1632168540,4801100,4801100,4801100,4801100,0.02789398
1632168600,4798200,4798200,4798200,4798200,0.050603
1632168660,4794800,4794870.041,4794870.04,4794800,0.14924898
1632168780,4796874.843,4793700,4797600,4793700,0.00663675
1632168900,4797100,4798800,4798800,4797100,0.0072
1632169020,4792100,4792100,4792100,4792100,0.0008
1632169080,4789000,4787300,4789000,4787300,0.0232
1632169200,4790600,4790600,4790600,4790600,0.005
1632169260,4787600,4786664.311,4787600,4786664.311,0.00153539
1632169320,4786600,4785100,4786600,4785100,0.0098
1632169380,4785023.731,4781300,4785023.73,4781300,0.0111
1632169560,4788000,4786400,4788000,4786400,0.00179776
1632169620,4784700,4782300,4784700,4782300,0.03999
1632169740,4782900,4775300,4782900,4775300,0.30458334
1632169860,4777900,4777900,4777900,4777900,0.10320527
1632170160,4784700,4784700,4784700,4784700,0.00126038
1632170220,4784400,4783600,4784400,4783600,0.32375806
1632170280,4788500,4789200,4789200,4788500,0.0032
1632170340,4780966.753,4780966.753,4780966.75,4780966.753,0.0002
1632170400,4778700,4766400,4778700,4765400,0.08080952
1632170460,4765300,4755700,4765300,4754094.501,0.57538931
1632170520,4754000,4752900,4756100,4752900,0.00365947
1632170580,4752800,4743200,4752800,4743200,0.06952893
1632170640,4751000,4751000,4751000,4751000,0.00166854
1632170700,4754000,4744600,4754000,4744600,0.05766475
1632170760,4744500,4740700,4744500,4739100,0.02748
1632170820,4746800,4738500,4746800,4738500,0.131
1632170880,4738400,4736300,4738400,4735400,0.02169275
1632170940,4740400,4731500,4740400,4731500,0.0594
1632171000,4733500,4736500,4736500,4733500,0.17310228
1632171060,4736400,4730700,4736400,4730700,0.03645294
1632171120,4730669.734,4736200,4736200,4729000,0.28625475
1632171240,4740900,4740900,4740900,4740900,0.005
1632171360,4736100,4736100,4736100,4736100,0.0002
1632171420,4745300,4749500,4749500,4745300,0.33562886
1632171480,4749100,4749100,4749100,4749100,0.005
1632171540,4761600,4763800,4763800,4761600,0.00266264
1632171600,4766658.966,4784584.252,4784584.25,4766658.966,0.34038892
1632171660,4784199.392,4774000,4784489.5,4774000,0.37243584
1632171720,4771200,4766300,4771200,4766300,0.23236231
1632171780,4762500,4754200,4762500,4751600,0.23836313
1632171840,4755200,4754800,4755200,4754800,0.01300702
1632171900,4769300,4760000,4770600,4760000,0.12253647
1632171960,4764700,4769300,4769300,4764700,0.0168
1632172020,4769300,4771700,4771700,4769300,0.04385
1632172080,4771800,4779900,4779900,4771800,0.08681084
1632172200,4779607.444,4785200,4785200,4779607.444,0.01438712
1632172260,4785300,4784500,4786000,4784500,0.0532
1632172320,4785877.576,4788612.051,4788612.05,4785877.576,0.0164506
1632172380,4784500,4784500,4784500,4784500,0.01
1632172500,4780200,4777100,4780200,4777100,0.24144352
1632172680,4778700,4785900,4785900,4778700,0.05356046
1632172740,4786000,4787700,4787700,4786000,0.0072
1632172800,4787800,4789800,4791800,4787800,0.93066415
1632172860,4790252.736,4787400,4790252.74,4787400,0.18674993
1632172920,4785600,4785600,4785600,4785600,0.03013
1632173040,4788494.949,4787500,4788494.95,4785200,0.35929161
1632173100,4786900,4784800,4786900,4784800,0.055
1632173160,4785400,4783900,4785400,4783900,0.05176128
1632173220,4786700,4787000,4787000,4786700,0.0016
1632173280,4787100,4787100,4787100,4787100,0.0004
1632173340,4787200,4788700,4788700,4787200,0.23499312
1632173460,4785100,4785344.861,4785729.83,4785100,0.02342551
1632173520,4784189.941,4784189.941,4784189.94,4784189.941,0.00562441
1632173580,4782070.601,4782070.601,4782070.6,4782070.601,0.45793187
1632173700,4780320.049,4780320.049,4780320.05,4780320.049,0.82778
1632173820,4783000,4783000,4783000,4783000,0.005
1632174180,4784500,4786100,4786100,4784500,0.0068
1632174240,4786200,4788100,4788100,4786200,0.008
1632174300,4788200,4798800,4798800,4788200,0.0428
1632174360,4798900,4795300,4801700,4795100,0.22276315
1632174420,4793300,4793300,4793300,4793300,0.0091
1632174480,4783700,4783800,4783800,4783700,0.09145
1632174540,4781000,4781000,4781000,4781000,0.044793
1632174720,4781500,4778200,4781500,4778200,0.00682
1632174780,4778100,4771500,4778100,4771500,0.0134
1632174960,4771400,4765100,4771400,4765100,0.0128
1632175020,4765000,4762300,4765000,4762300,0.0056
1632175080,4762200,4759500,4762200,4759500,0.0060839
1632175200,4766400,4766400,4766400,4766400,0.00127376
1632175260,4772600,4772600,4772600,4772600,0.00124217
1632175320,4767300,4766100,4767300,4766100,0.00100197
1632175380,4766000,4765500,4766000,4765500,0.001
1632175440,4773900,4774100,4774100,4773900,0.00507195
1632175500,4769000,4764900,4769000,4764900,0.108
1632175560,4764800,4764300,4764800,4764300,0.0012
1632175620,4773451.043,4773451.043,4773451.04,4773451.043,0.00117575
1632175680,4777000,4780100,4780100,4777000,0.017
1632175740,4780200,4784800,4784800,4780200,0.0188
1632175800,4784900,4785100,4785800,4784900,0.00736375
1632175860,4785900,4787847.131,4787847.13,4785900,0.0097
1632176040,4785550.377,4786300,4787700,4785550.377,0.02467222
1632176160,4786710.234,4789300,4789300,4786710.234,0.24081241
1632176220,4788941.096,4794600,4794600,4788941.096,0.04309134
1632176280,4794700,4794400,4794700,4794400,0.0504
1632176460,4794410.921,4790670.059,4797000,4790670.059,0.15047
1632176580,4794500,4797800,4797800,4794500,0.0197
1632176760,4796249.766,4797343.826,4797343.83,4796249.766,0.0082
1632176820,4796140.36,4796140.36,4796140.36,4796140.36,0.002246
1632177060,4793918.202,4793918.202,4793918.2,4793918.202,0.0004
1632177120,4794000,4794400,4794400,4794000,0.002
1632177240,4794465.353,4796300,4796300,4794465.353,0.0584
1632177300,4796400,4802800,4802800,4796400,0.04060054
1632177360,4800300,4799300,4800300,4799300,0.15121569
1632177420,4802891.478,4805700,4805700,4802891.478,0.04472065
1632177480,4804700,4804700,4804700,4804700,0.005
1632177540,4800000,4800000,4800000,4800000,0.01
1632177720,4800100,4800100,4800100,4800100,0.05
1632177960,4781237.378,4780903.416,4781237.38,4780903.416,0.00168
1632178020,4780600,4777823.02,4780600,4777823.02,0.26047893
1632178080,4774561.965,4774100.874,4774561.96,4774100.874,0.00084
1632178140,4774100,4761400,4774100,4761400,0.93673427
1632178200,4761300,4746400,4761300,4746400,0.04131156
1632178260,4748400,4741100,4748400,4741000,0.1819908
1632178320,4740900,4739200,4740900,4738500,0.52305899
1632178380,4740200,4733700,4743700,4733700,0.19659448
1632178440,4733636.511,4713700,4733636.51,4712300,1.32973352
1632178500,4718300,4733100,4735000,4716000,2.14706063
1632178560,4734500,4731600,4738300,4727100,0.32967837
1632178620,4728800,4734600,4734600,4726400,0.00960999
1632178680,4738600,4733300,4739200,4733300,0.00815957
1632178740,4734100,4744900,4744900,4734100,0.76420177
1632178800,4743200,4746300,4746300,4743200,0.00245564
1632178860,4744700,4742593.348,4744700,4739500,0.05258065
1632178920,4743578.083,4760800,4760800,4743578.083,0.49214164
1632178980,4757300,4772200,4773300,4756300,0.61197693
1632179040,4769000,4755700,4773400,4755700,0.33462799
1632179100,4751300,4726600,4751300,4726600,0.27860491
1632179160,4728500,4729900,4734300,4724400,0.60295953
1632179220,4735800,4741170.953,4741170.95,4735800,0.86461031
1632179280,4732417.753,4732417.753,4732417.75,4732417.753,0.46276326
1632179340,4730300,4717800,4733900,4716500,0.48891062
1632179400,4717900,4713700,4717900,4712100,0.97046511
1632179460,4712000,4709500,4712000,4709500,0.59589637
1632179520,4709300,4703600,4709300,4699898.743,0.02269516
1632179580,4705595.121,4703407.54,4709095.25,4703407.54,1.2854299
1632179640,4708200,4722100,4722100,4708200,1.26709086
1632179700,4737000,4719814.394,4737000,4719814.394,0.05262764
1632179760,4718900,4712900,4718900,4706400,0.52206385
1632179820,4717900,4716500,4719923.77,4716500,0.00325591
1632179880,4716300,4716400,4718400,4713800,0.02576015
1632179940,4715800,4713600,4718501.85,4713600,0.05929944
1632180000,4713500,4707500,4713500,4707500,0.06669
1632180060,4709900,4695300,4709900,4695300,0.0699373
1632180120,4696100,4704900,4704900,4694200,0.02481248
1632180180,4701150.865,4692200,4701711.23,4684700,0.8481257
1632180240,4686146.783,4683300,4686146.78,4683300,0.0054964
1632180300,4683500,4669200,4688600,4665500,1.14867904
1632180360,4673400,4680900,4681000,4669600,0.50749807
1632180420,4674100,4678000,4678000,4667589.347,0.57613699
1632180480,4679100,4674800,4685700,4670200,0.12624594
1632180540,4670104.742,4665300,4670104.74,4665300,0.01261786
1632180600,4671100,4659400,4672500,4659400,0.31424968
1632180660,4662807.099,4664225.282,4664900,4662807.099,1.00541382
1632180720,4664225.282,4656200,4664225.28,4656200,0.51252597
1632180780,4663400,4670200,4670200,4662700,0.08219489
1632180840,4670400,4677895.345,4677895.34,4670400,0.71857125
1632180900,4671300,4683700,4683700,4671300,0.65025524
1632180960,4677600,4687200,4687200,4677600,0.62733227
1632181020,4679163.897,4676200,4679163.9,4676200,0.0593
1632181080,4682900,4679500,4682900,4679500,0.04134088
1632181140,4683300,4662600,4683300,4662600,0.20643379
1632181200,4664000,4670896.273,4670896.27,4663000,0.30062259
1632181260,4676900,4676900,4676900,4676900,0.05
1632181320,4680187.335,4672300,4681700,4672300,0.49847024
1632181380,4679800,4672900,4679800,4672900,0.14917923
1632181440,4672800,4667719.668,4672800,4667719.668,0.09990098
1632181500,4669141.42,4667719.668,4669250.79,4667719.668,0.01590823
1632181560,4673200,4681700,4681700,4673200,0.26822367
1632181620,4681300,4681800,4683900,4681300,0.15184187
1632181680,4681827.818,4675400,4683500,4675400,0.52535938
1632181740,4677652.491,4692436.272,4694200,4677652.491,0.34394712
1632181800,4694300,4698200,4698200,4691400,0.27658177
1632181860,4693500,4698265.48,4701800,4693500,0.55882868
1632181920,4698400,4707100,4707100,4698265.48,0.71225606
1632181980,4705800,4702700,4705800,4702700,0.08967371
1632182040,4704070.346,4703500,4704070.35,4703500,0.08994304
